FROM,TO
1337,105
1338,105
1339,105
1340,105
1341,105
1342,105
1343,105
1344,105
1345,105
1346,105
1347,105
1348,105
1349,105
1350,105
1389,107
1390,107
1391,107
1392,107
1393,107
1394,107
1395,107
1396,107
1397,107
1398,107
1399,107
1400,107
1401,107
1402,107
1403,107
1404,107
1405,107
1406,107
1407,107
1408,107
1409,107
1410,107
1411,107
1412,107
1413,107
1414,107
1415,107
1416,107
1417,107
1418,107
1419,107
1420,107
1421,107
1422,107
1423,107
1424,107
1425,107
1426,107
1427,107
1428,107
1429,107
1430,107
1431,107
1432,107
1433,107
1434,107
1435,107
1436,107
1437,107
1438,107
1439,107
1569,110
1570,110
1571,110
1572,110
1573,110
1574,110
905,1
906,1
907,1
908,1
909,1
910,1
911,1
912,1
913,1
914,1
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,1
929,1
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,1
758,84
969,92
970,92
971,92
972,92
973,92
974,92
975,92
976,92
977,92
978,92
979,92
980,92
981,92
1117,96
1118,96
1174,98
1175,98
1176,98
1177,98
1178,98
1179,98
1180,98
1226,100
1227,100
1228,100
1229,100
1230,100
1235,101
1236,101
1237,101
1238,101
1239,101
1240,101
1241,101
1242,101
1243,101
1244,101
1245,101
1246,101
1247,101
1248,101
1249,101
1250,101
1251,101
1252,101
1253,101
1254,101
1255,101
1256,101
1257,101
1258,101
1259,101
1260,101
1261,101
1262,101
1263,101
1264,101
1265,101
1266,101
1267,101
1268,101
1269,101
1270,101
1271,101
1272,101
1351,106
1352,106
1353,106
1354,106
1355,106
1356,106
1357,106
1358,106
1359,106
1360,106
1361,106
1362,106
1363,106
1364,106
1365,106
1366,106
1367,106
1368,106
1369,106
1370,106
1371,106
1372,106
1373,106
1374,106
1375,106
1376,106
1377,106
1378,106
1379,106
1380,106
1381,106
1382,106
1383,106
1384,106
1385,106
1386,106
1387,106
1388,106
1539,108
1540,108
1541,108
1542,108
1543,108
1544,108
1545,108
1546,108
1547,108
1548,108
1549,108
1550,108
1551,108
1552,108
1553,108
1554,108
1555,108
1556,108
2538,1104
2539,1104
5153,1228
5158,1228
2849,600
3245,182
3246,182
3247,182
3411,182
3412,182
5057,720
5100,720
5101,720
5068,721
5103,721
5063,723
5067,724
5111,725
5105,725
5065,726
5078,727
5069,728
5122,729
5059,729
5088,729
5138,731
5046,731
5102,731
5047,733
5044,736
5072,738
7882,740
7886,740
6342,740
5139,740
5106,740
5056,741
5087,744
5074,749
5075,749
5300,753
5443,753
5301,758
5367,758
5269,762
5270,762
5271,762
5272,762
5273,762
5274,762
5275,762
5276,762
5277,762
5278,762
5279,762
5280,762
5281,762
5282,762
5283,762
5370,762
5371,762
5372,762
5373,762
5374,762
5375,762
5376,762
5377,762
5378,762
5379,762
5380,762
5404,762
5405,762
5406,762
5407,762
5408,762
5409,762
5410,762
5411,762
5412,762
5447,762
5448,762
5449,762
5450,762
5451,762
5452,762
5453,762
5454,762
5455,762
5456,762
5457,762
5385,789
5482,789
5626,794
5627,794
5724,794
5775,794
5776,794
5541,799
5738,799
5796,799
5531,802
5586,802
5655,802
5687,802
5688,802
5689,802
5690,802
5539,807
5540,807
5709,807
5737,807
5794,807
5795,807
5563,811
5673,811
5706,811
5565,815
5566,815
5596,815
5677,815
5708,815
5545,817
5712,817
5741,817
5799,817
5554,823
5576,823
5577,823
5578,823
5579,823
5609,823
5610,823
5611,823
5612,823
5613,823
5614,823
5700,823
5701,823
5702,823
5703,823
5719,823
5761,823
5762,823
5763,823
5764,823
5765,823
5766,823
5767,823
5993,837
5990,846
6027,850
6054,854
6005,857
6122,863
5981,863
6004,871
6068,871
6097,871
6098,871
7828,879
7829,879
7830,879
7831,879
7832,879
7833,879
6843,879
6844,879
6845,879
6846,879
6847,879
6848,879
6849,879
6850,879
6851,879
6852,879
7497,879
7498,879
7499,879
7500,879
7582,879
7583,879
7584,879
7585,879
7586,879
7587,879
7743,884
7744,884
6914,884
6929,884
7002,884
7003,884
7004,884
7213,884
7214,884
7215,884
7239,884
7271,884
7389,884
7390,884
7651,884
7652,884
7653,884
7737,890
7881,890
6992,890
6993,890
6994,890
6995,890
6996,890
6997,890
7054,890
7062,890
7063,890
7064,890
7065,890
7066,890
7067,890
7068,890
7069,890
7070,890
7381,890
7382,890
7383,890
7384,890
7385,890
7386,890
7735,890
7736,890
6932,898
7231,898
7232,898
7233,898
7234,898
7293,898
7294,898
7295,898
7296,898
7297,898
7674,898
7675,898
7676,898
7677,898
7679,898
7863,905
6906,905
6907,905
6908,905
6909,905
6910,905
6911,905
6912,905
6913,905
7205,905
7206,905
7207,905
7208,905
7209,905
7210,905
7211,905
7212,905
7226,905
7258,905
7259,905
7260,905
7261,905
7262,905
7892,916
7893,916
7894,916
7899,916
7905,916
7906,916
7907,916
7908,916
7909,916
7913,916
7914,916
7933,916
7934,916
7895,945
1582,955
1583,955
1585,955
1587,955
1589,955
1590,955
1591,955
1592,955
1593,955
1596,960
1598,960
1600,960
1597,963
1595,965
1601,969
1613,971
1614,971
1624,971
1604,974
1608,977
1659,980
1702,980
1703,980
1635,984
1636,984
1677,984
1715,984
1716,984
1717,984
1718,984
1719,984
1724,984
1725,984
1726,984
1727,984
1728,984
1732,984
1756,984
1757,984
1758,984
1759,984
1760,984
7698,984
1800,996
1802,996
1803,996
1806,996
1814,1005
1960,1010
1956,1014
1967,1014
1993,1020
1994,1020
1995,1020
2004,1020
2005,1020
2023,1020
2037,1020
2038,1020
2039,1020
2040,1020
2041,1020
2042,1020
2043,1020
2044,1020
2045,1020
2046,1020
2047,1020
2048,1020
2049,1020
2050,1020
2088,1020
2089,1020
2090,1020
2091,1020
2092,1020
2093,1020
2094,1020
2095,1020
2096,1020
2097,1020
2098,1020
2099,1020
2105,1020
2106,1020
2129,1020
2130,1020
2131,1020
2132,1020
2133,1020
2134,1020
2135,1020
2136,1020
2137,1020
2141,1020
2142,1020
2143,1020
1979,1036
1969,1037
1970,1037
1971,1037
1972,1037
1973,1037
1974,1037
1975,1037
1976,1037
1977,1037
1978,1037
2203,1052
2204,1052
2386,1061
2417,1061
2406,1066
2418,1066
2400,1069
2401,1069
2411,1069
2416,1069
2440,1075
2432,1079
2454,1082
2455,1082
2456,1082
2457,1082
2458,1082
2459,1082
2460,1082
2461,1082
2467,1082
2468,1082
2469,1082
2473,1082
2474,1082
2475,1082
2476,1082
2477,1082
2478,1082
2526,1101
2534,1101
2527,1108
6672,1113
2574,1113
2580,1113
2594,1113
2595,1113
2623,1113
2661,1122
2673,1122
2664,1128
2710,1131
2711,1131
2740,1131
2793,1131
2794,1131
2723,1135
2724,1135
2731,1135
2762,1135
2811,1135
2812,1135
2813,1135
2955,1141
2969,1141
2994,1148
2983,1153
4600,1166
4601,1166
4602,1166
4603,1166
4604,1166
4605,1166
4608,1166
4613,1166
4614,1166
4617,1166
4618,1166
4619,1166
4620,1166
4621,1166
4622,1166
4623,1166
4624,1166
4625,1166
4629,1166
4632,1166
4633,1166
4634,1166
4635,1166
4636,1166
4637,1166
4638,1166
4639,1166
4640,1166
4646,1166
4647,1166
4649,1166
4650,1166
4651,1166
4652,1166
4653,1166
4654,1166
4659,1166
4660,1166
4939,1178
4940,1178
4948,1190
4947,1192
4950,1195
4951,1195
4953,1195
4954,1195
4955,1195
4958,1195
4962,1195
4963,1195
4964,1195
4965,1195
4966,1195
4967,1195
5002,1210
5003,1210
5004,1210
5014,1210
5016,1210
5023,1213
5024,1213
5034,1213
5022,1215
5030,1215
5031,1215
5146,1220
5140,1222
5159,1232
5173,1237
5174,1240
5180,1240
5182,1244
5205,1250
5206,1250
5193,1255
5200,1255
5225,1255
5234,1260
5235,1260
5505,1273
5822,1278
5836,1278
5856,1278
5812,1284
5813,1284
5814,1284
5815,1284
5816,1284
5817,1284
5821,1284
5833,1284
5834,1284
5855,1284
1827,1294
6924,1294
5866,1294
5867,1294
6451,1301
6452,1301
6455,1301
6456,1301
5941,1305
5942,1305
5954,1305
5968,1305
5969,1305
5972,1305
5973,1305
5974,1305
5946,1311
5947,1311
6222,1334
6257,1334
6285,1334
6286,1334
6301,1343
6336,1343
7887,1351
7888,1351
7305,1351
6324,1351
6325,1351
6331,1351
6345,1359
6346,1359
6359,1359
6360,1359
6361,1359
6362,1359
6363,1359
6364,1359
6371,1359
6375,1359
6376,1359
6377,1359
6402,1370
6407,1370
6411,1370
6412,1370
6422,1370
6480,1377
6481,1377
6483,1381
6540,1400
6541,1400
6542,1400
6543,1400
6544,1400
6546,1400
6547,1400
6548,1400
6550,1410
6627,1413
6628,1413
6878,1421
7616,1421
6639,1421
6640,1421
6649,1421
6665,1421
7879,1432
7880,1432
7946,1439
7953,1447
7838,906
7839,906
7840,906
7841,906
7866,906
6857,906
6858,906
6859,906
7507,906
7508,906
7509,906
7510,906
7511,906
7593,906
7594,906
7619,906
7727,906
3119,125
3666,125
3667,125
4032,125
4033,125
4335,125
2899,617
2903,617
2904,617
2865,624
2895,624
2929,624
2832,629
4517,662
4572,670
4796,713
4797,713
4870,713
4915,713
5089,719
5079,722
5048,735
5071,739
5123,742
5107,742
5066,747
5077,752
5104,752
5298,756
5330,761
5332,765
5333,765
5387,765
5391,765
5268,771
5336,774
6030,867
6067,867
7764,877
7765,877
7766,877
7767,877
7768,877
7769,877
7770,877
7771,877
7772,877
7773,877
7774,877
7775,877
7776,877
7777,877
7778,877
7779,877
7780,877
7027,877
7028,877
7029,877
7030,877
7031,877
7032,877
7033,877
7034,877
7035,877
7036,877
7037,877
7038,877
7039,877
7040,877
7098,877
7099,877
7100,877
7101,877
7102,877
7103,877
7104,877
7105,877
7106,877
7107,877
7108,877
7414,877
7415,877
7416,877
7417,877
7418,877
7419,877
7420,877
7421,877
7422,877
7423,877
7424,877
6888,891
6919,891
6920,891
6921,891
6922,891
6923,891
7219,891
7220,891
7276,891
7277,891
7278,891
7279,891
7280,891
7281,891
7282,891
7663,891
7664,891
7665,891
6925,896
6926,896
6927,896
6928,896
7221,896
7222,896
7223,896
7224,896
7283,896
7284,896
7285,896
7286,896
7287,896
7288,896
7666,896
7667,896
7668,896
7864,900
6915,900
6916,900
6917,900
6918,900
7216,900
7217,900
7218,900
7272,900
7273,900
7274,900
7275,900
7654,900
7655,900
7656,900
7657,900
7658,900
7659,900
7660,900
7661,900
7662,900
6885,909
6963,909
6964,909
6965,909
6966,909
6967,909
6968,909
7160,909
7161,909
7162,909
7163,909
7164,909
7165,909
7166,909
7339,909
7340,909
7341,909
7342,909
7531,909
7711,909
7712,909
7713,909
7714,909
7715,909
7716,909
7896,947
7897,947
7898,947
7902,947
7903,947
7918,947
7919,947
7920,947
7921,947
7922,947
7923,947
7924,947
7925,947
7926,947
7927,947
7928,947
7929,947
7930,947
7931,947
7932,947
1639,986
1667,986
1668,986
1669,986
1670,986
1671,986
1672,986
1673,986
1674,986
1675,986
1680,986
1681,986
1682,986
1683,986
1684,986
1685,986
1736,986
1737,986
1738,986
1739,986
1740,986
1815,1007
6701,1007
6768,1007
6769,1007
2736,1007
1961,1012
1954,1016
1955,1016
1963,1016
1964,1016
1968,1016
1986,1023
1987,1023
2003,1023
2054,1023
2062,1023
2063,1023
2064,1023
2104,1023
2120,1023
2121,1023
2122,1023
2156,1023
2157,1023
7289,1023
1989,1029
1990,1029
1991,1029
1992,1029
2024,1029
2025,1029
2026,1029
2027,1029
2028,1029
2029,1029
2030,1029
2031,1029
2032,1029
2033,1029
2034,1029
2035,1029
2036,1029
2069,1029
2076,1029
2080,1029
2081,1029
2082,1029
2083,1029
2084,1029
2085,1029
2086,1029
2087,1029
2125,1029
2126,1029
2127,1029
2128,1029
2176,1059
2177,1059
2184,1059
2185,1059
2199,1059
2200,1059
2404,1068
2405,1068
2433,1074
2435,1074
7850,1078
2437,1078
6864,1078
6865,1078
7442,1078
7519,1078
7602,1078
7603,1078
2453,1086
2472,1086
2483,1090
2485,1090
2486,1090
2487,1096
2521,1105
2540,1105
7753,1115
7754,1115
7755,1115
7756,1115
7011,1115
7012,1115
7013,1115
7376,1115
7398,1115
6675,1115
6676,1115
6677,1115
6678,1115
6715,1115
6716,1115
6717,1115
6718,1115
6719,1115
6730,1115
6731,1115
6775,1115
6776,1115
6777,1115
6778,1115
6779,1115
6780,1115
6781,1115
6782,1115
2554,1115
2555,1115
2556,1115
2596,1115
2597,1115
2598,1115
2599,1115
2605,1115
2606,1115
2607,1115
2608,1115
2624,1115
2625,1115
2626,1115
2627,1115
2628,1115
2629,1115
2630,1115
2696,1134
2697,1134
2708,1134
2738,1134
2761,1134
2957,1138
2962,1138
2966,1138
2967,1138
2975,1138
2976,1138
2946,1146
2947,1146
2993,1152
4610,1164
4611,1164
4612,1164
4658,1164
4686,1169
4687,1169
4721,1169
4671,1172
4672,1172
4695,1172
4696,1172
4697,1172
4698,1172
4710,1172
4716,1172
4717,1172
4718,1172
4719,1172
4731,1172
4732,1172
4733,1172
4734,1172
4735,1172
4736,1172
4741,1172
2760,1176
2879,1176
4680,1176
4681,1176
4693,1176
4701,1176
4728,1176
4729,1176
4730,1176
4959,1189
4992,1207
5007,1207
5025,1207
5015,1209
5032,1209
5033,1209
5000,1212
5001,1212
5013,1212
4996,1214
4997,1214
4998,1214
4999,1214
5008,1214
5009,1214
5010,1214
5011,1214
5012,1214
5017,1214
5018,1214
5019,1214
5155,1229
5154,1236
5171,1239
5168,1243
5192,1249
5214,1249
5183,1254
5184,1254
5185,1254
5201,1254
5202,1254
5203,1254
5207,1254
5208,1254
5506,1269
5508,1272
5818,1277
5819,1277
5835,1277
5801,1282
5802,1282
5803,1282
5839,1282
5845,1282
1828,1288
6933,1288
5869,1288
5861,1293
5871,1293
5872,1293
5873,1293
5874,1293
5877,1293
5880,1293
5881,1293
5882,1293
5883,1293
5884,1293
5888,1293
5889,1293
5890,1293
6434,1300
5943,1309
6149,1316
6171,1328
6175,1332
6176,1332
6186,1332
6187,1332
6190,1332
6191,1332
6192,1332
6234,1338
6235,1338
6282,1338
6283,1338
6201,1342
6225,1342
6245,1342
6246,1342
6274,1342
6304,1345
6305,1345
6306,1345
6310,1345
6318,1345
6320,1345
6321,1345
6339,1345
6340,1345
6341,1345
6309,1352
6343,1352
6366,1358
6367,1358
6403,1364
6417,1364
6395,1368
6404,1368
6421,1368
6484,1376
6494,1383
6495,1383
6496,1383
6497,1383
6498,1383
6499,1383
6500,1383
6501,1383
6502,1383
6503,1383
6504,1383
6505,1383
6508,1383
6509,1383
6514,1383
6515,1383
6516,1383
6517,1383
6518,1383
6519,1383
6520,1383
6521,1383
6523,1383
6524,1383
6525,1383
6526,1383
6527,1383
6528,1383
6529,1383
6530,1383
6531,1383
6532,1383
6533,1383
6534,1383
6535,1383
6536,1383
6551,1404
6558,1407
6571,1407
6643,1415
6660,1415
6661,1415
6662,1415
6663,1415
6667,1422
6713,1422
6751,1422
6766,1422
2581,1422
2590,1422
7883,1430
7891,1430
7939,1437
3371,111
3372,111
3565,111
3744,111
3745,111
3746,111
3747,111
3813,111
3814,111
4493,111
4494,111
4495,111
3100,115
3644,115
3686,116
4046,116
4047,116
4345,116
4346,116
3248,117
3414,117
3214,118
3215,118
3216,118
3234,118
3549,118
3550,118
3551,118
3894,118
3895,118
3896,118
4190,118
4191,118
4192,118
3254,119
3255,119
4071,119
4072,119
4073,119
4074,119
4375,119
4376,119
4377,119
3235,120
3396,120
4053,120
3217,121
3218,121
3320,121
3552,121
3553,121
3897,121
3898,121
3899,121
3900,121
3901,121
3902,121
3903,121
3904,121
4193,121
4194,121
4195,121
3313,122
3314,122
3097,123
3641,123
3642,123
3916,123
4312,123
4313,123
4314,123
4315,123
4316,123
4317,123
3054,124
3055,124
3056,124
3057,124
3058,124
3059,124
3060,124
3061,124
3062,124
3063,124
3064,124
3065,124
3066,124
3067,124
3068,124
3069,124
3070,124
3071,124
3072,124
3073,124
3074,124
3075,124
3076,124
3077,124
3078,124
3079,124
3080,124
3081,124
3082,124
3083,124
3615,124
3616,124
3617,124
3618,124
3619,124
3620,124
3621,124
3622,124
3623,124
3692,124
3840,124
3985,124
3986,124
3987,124
3988,124
3989,124
3990,124
3991,124
3992,124
3993,124
3994,124
3995,124
3996,124
