person,city
5671,126
5688,1325
5694,1144
5726,1001
5730,860
5780,482
5807,462
5851,710
5864,291
5878,362
5880,1440
5888,517
5913,959
5924,470
5928,1279
5958,414
5973,522
6003,307
6054,289
6079,1173
6095,350
6099,876
6110,1298
6120,643
6137,1305
6144,618
6155,741
6164,708
6181,754
6196,838
6239,533
6264,940
6292,1008
6299,1063
6300,749
6306,594
6328,570
6352,790
6353,195
6358,1110
6389,593
6394,1429
6398,754
6400,1212
6421,180
6444,1245
6456,1297
6468,724
6486,1417
6510,539
6516,553
6549,313
6552,1052
6563,1045
6574,852
6575,1097
6579,1252
6592,1381
6619,1188
6625,1068
6628,449
6654,438
6661,306
6668,884
6673,1342
6682,1379
6686,129
6714,1368
6725,1088
6732,978
6762,1151
6765,768
6776,209
6780,672
6795,1379
6804,576
6806,431
6818,1131
6819,1414
6870,710
6871,140
6878,1034
6889,444
6916,1316
6929,1197
6948,448
6963,795
6974,223
7066,740
7100,738
7108,436
7111,651
7138,173
7139,949
7145,857
7146,1360
7154,524
7185,1223
7186,771
7239,1155
7244,831
7247,725
7251,432
7273,851
7274,891
7305,740
7309,1013
7328,1117
7345,499
7349,1300
7353,1127
7363,483
7375,1192
7379,393
7391,243
7402,741
7404,401
7425,1366
7427,1327
7437,949
7449,215
7464,1258
7490,188
7554,862
7565,1080
7582,755
7587,466
7590,278
7593,343
7602,1338
7615,284
7631,1195
7633,1194
7645,355
7684,1174
7693,609
7756,1319
7761,121
7780,779
7784,441
7788,1370
7835,269
7837,854
7861,1157
7898,323
7899,782
7913,1161
7931,1154
7937,131
7954,1429
8001,1299
8017,321
8018,485
8026,376
8027,1194
8057,1023
8060,1435
8071,533
8098,1397
8113,1322
8114,456
8120,585
8135,461
8154,177
8161,1045
8182,1089
8213,542
8237,902
8261,1396
8289,671
8304,1008
8316,203
8317,1044
8326,1364
8358,697
8371,1420
8375,393
8387,219
8410,510
8439,1196
8456,726
8478,537
8482,939
8506,948
8539,1281
8567,524
8600,463
8617,1234
8647,1107
8653,111
8673,230
8677,1191
8682,408
8698,264
8712,815
8726,593
8739,864
8747,991
8749,441
8778,1326
8780,302
8799,497
8807,771
8826,931
8829,827
8849,1217
8874,1091
8892,1012
8919,533
8923,950
8973,613
8983,274
9000,757
9028,942
9033,795
9034,716
9043,1177
9050,1440
9090,456
9101,913
9104,300
9122,919
9156,374
9166,1268
9221,895
9241,134
9250,439
9262,441
9304,378
9306,1126
9336,1402
9340,730
9369,849
9371,1418
9381,389
9441,559
9445,1399
9467,212
9475,824
9533,1081
9538,1125
9539,1115
9542,255
9552,303
9586,238
9615,624
9648,1368
9677,152
9686,1419
9693,444
9712,652
9733,597
9758,302
9762,875
9774,970
9802,844
9840,1214
9842,806
9859,852
9862,175
9874,1216
9904,1235
9910,374
9922,376
9946,124
9979,1209
9995,171
10003,602
10006,490
10022,1241
10040,1078
10044,305
10135,576
10137,347
10149,463
10160,701
10172,768
10191,1189
10192,387
10242,1096
10281,1014
10307,554
10310,1319
10313,145
10349,661
10377,741
10427,309
10471,305
10482,1433
10493,1154
10509,644
10523,571
10556,1423
10557,942
10565,1249
10575,1293
10604,762
10611,555
10613,367
10629,283
10641,316
10648,648
10662,1449
10664,576
10707,509
10715,568
10747,567
10757,1432
10776,796
10784,850
10786,891
10807,1235
10814,805
10826,1255
10856,381
10858,437
10861,1035
10868,632
10890,562
10895,910
10898,114
10924,683
10936,1285
10942,638
10965,995
2199023255557,1014
2199023255573,779
2199023255606,131
2199023255629,605
2199023255640,314
2199023255651,363
2199023255666,930
2199023255668,265
2199023255669,1005
2199023255672,1248
2199023255675,1275
2199023255691,534
2199023255731,426
2199023255740,627
2199023255745,385
2199023255756,616
2199023255759,670
2199023255761,475
2199023255776,113
2199023255792,755
2199023255807,597
2199023255823,618
2199023255825,961
2199023255853,586
2199023255889,1250
2199023255900,799
2199023255907,1195
2199023255967,811
2199023255976,159
2199023256003,800
2199023256008,183
2199023256015,1040
2199023256066,1395
2199023256068,1202
2199023256069,522
2199023256087,1110
2199023256103,876
2199023256106,1327
2199023256108,384
2199023256110,1317
2199023256124,706
2199023256130,399
2199023256140,1444
2199023256154,796
2199023256169,1365
2199023256188,347
2199023256191,1338
2199023256201,575
2199023256206,984
2199023256212,1377
2199023256224,1253
2199023256238,1423
2199023256247,192
2199023256307,342
2199023256308,1253
2199023256330,1095
2199023256351,479
2199023256381,1374
2199023256436,362
2199023256440,255
2199023256462,564
2199023256466,1295
2199023256467,765
2199023256479,226
2199023256486,302
2199023256518,1087
2199023256521,929
2199023256536,1120
2199023256539,1266
2199023256574,425
2199023256575,1319
2199023256610,956
2199023256621,1307
2199023256625,778
2199023256642,742
2199023256703,903
2199023256727,825
2199023256738,1094
2199023256770,724
2199023256771,1140
2199023256815,381
2199023256826,1076
2199023256836,1391
2199023256853,1178
2199023256875,189
2199023256915,839
2199023256926,775
2199023256961,1129
2199023256999,894
2199023257011,313
2199023257012,161
2199023257018,118
2199023257035,1126
2199023257076,719
2199023257081,1199
2199023257093,790
2199023257113,204
2199023257152,394
2199023257172,303
2199023257176,1280
2199023257192,179
2199023257203,1045
2199023257206,1109
2199023257223,941
2199023257244,1158
2199023257246,1072
2199023257251,710
2199023257258,558
2199023257272,868
2199023257304,1312
2199023257307,1206
2199023257349,1087
2199023257356,1284
2199023257361,137
2199023257380,534
2199023257396,1376
2199023257397,537
2199023257426,163
2199023257470,1300
2199023257490,446
2199023257594,457
2199023257601,1175
2199023257622,184
2199023257633,1258
2199023257639,890
2199023257653,677
2199023257656,761
2199023257681,169
2199023257807,1289
2199023257850,1285
2199023257858,247
2199023257867,865
2199023257886,900
2199023257908,1409
2199023257984,550
2199023257999,404
2199023258027,543
2199023258064,1211
2199023258085,830
2199023258092,705
2199023258114,277
2199023258115,1047
2199023258134,416
2199023258140,1077
2199023258157,1178
2199023258163,944
2199023258198,562
2199023258199,1000
2199023258216,1347
2199023258226,314
2199023258230,252
2199023258251,733
2199023258256,853
2199023258262,165
2199023258266,668
2199023258285,1379
2199023258367,1367
2199023258370,902
2199023258424,123
2199023258433,1369
2199023258461,643
2199023258473,941
2199023258475,248
2199023258491,366
2199023258506,1026
2199023258508,1352
2199023258563,500
2199023258592,1230
2199023258597,686
2199023258646,671
2199023258669,1245
2199023258695,723
2199023258701,1261
2199023258704,918
2199023258705,152
2199023258717,439
2199023258753,864
2199023258802,1320
2199023258809,1282
2199023258815,405
2199023258833,824
2199023258844,1324
2199023258876,980
2199023258884,431
2199023258889,613
2199023258930,1447
2199023258965,1297
2199023258976,1281
2199023258995,440
2199023258996,1240
2199023258997,289
2199023259005,1331
2199023259027,275
2199023259044,567
2199023259056,199
2199023259060,491
2199023259062,1423
2199023259074,1259
2199023259145,1241
2199023259153,116
2199023259163,1067
2199023259188,361
2199023259194,856
2199023259227,423
2199023259229,250
2199023259249,1428
2199023259253,323
2199023259286,777
2199023259297,1110
2199023259320,229
2199023259331,998
2199023259337,263
2199023259358,1268
2199023259370,1191
2199023259373,826
2199023259378,350
2199023259422,136
2199023259425,1372
2199023259467,1276
2199023259493,1050
2199023259494,1253
2199023259496,508
2199023259532,734
2199023259537,1017
2199023259544,184
2199023259546,499
2199023259552,339
2199023259557,260
2199023259560,1401
2199023259566,517
2199023259625,1116
2199023259627,889
2199023259641,1245
2199023259651,1068
2199023259669,983
2199023259683,505
2199023259697,1263
2199023259699,1053
2199023259725,771
2199023259728,816
2199023259743,1442
2199023259749,496
2199023259793,259
2199023259806,454
2199023259811,384
2199023259835,621
2199023259855,355
2199023259866,555
2199023259874,1172
2199023259897,1299
2199023259915,432
2199023259958,694
2199023259980,1017
2199023259981,146
2199023260042,1169
2199023260051,144
2199023260097,1228
2199023260111,1295
2199023260145,1071
2199023260149,1218
2199023260155,792
2199023260212,843
2199023260232,1151
2199023260237,416
2199023260267,558
2199023260279,803
2199023260301,1197
2199023260364,821
2199023260377,276
2199023260445,349
2199023260477,467
2199023260487,358
2199023260496,255
2199023260507,120
2199023260517,309
2199023260588,1379
2199023260589,893
2199023260592,1432
2199023260593,686
2199023260607,134
2199023260611,549
2199023260631,1061
2199023260638,511
2199023260640,880
2199023260685,1258
2199023260693,268
2199023260698,1142
2199023260699,538
2199023260711,136
2199023260734,1247
2199023260768,1272
2199023260772,297
2199023260790,1075
2199023260795,705
2199023260813,653
2199023260815,440
2199023260821,939
2199023260846,274
2199023260849,152
2199023260856,1248
2199023260862,493
2199023260881,886
2199023260890,1409
2199023260899,200
2199023260922,682
2199023260936,565
2199023260976,852
2199023260994,1017
2199023261007,1175
2199023261021,297
2199023261027,741
2199023261049,274
2199023261061,241
2199023261155,1276
2199023261181,741
2199023261185,607
2199023261193,1382
2199023261194,429
2199023261198,523
2199023261231,1089
2199023261236,864
2199023261263,623
2199023261264,389
2199023261269,665
2199023261275,231
2199023261279,215
2199023261317,759
2199023261320,289
2199023261346,317
2199023261348,983
2199023261391,1278
2199023261398,914
2199023261409,163
2199023261413,297
2199023261415,730
2199023261420,127
2199023261443,866
2199023261502,623
2199023261511,604
2199023261517,531
2199023261520,475
2199023261523,1257
2199023261531,1427
2199023261534,881
2199023261571,430
2199023261587,883
2199023261625,890
2199023261649,150
2199023261660,358
2199023261674,1173
2199023261692,1218
2199023261700,460
2199023261743,955
2199023261775,850
2199023261777,1305
2199023261832,996
2199023261833,290
2199023261845,185
2199023261856,1335
2199023261875,1329
2199023261888,1131
2199023261930,966
2199023261935,916
2199023261943,549
2199023261953,136
2199023261954,321
2199023261959,1101
2199023261968,1170
2199023261970,329
2199023261979,1099
2199023261999,1249
2199023262001,917
2199023262010,325
2199023262040,419
2199023262063,420
2199023262085,376
2199023262094,1284
2199023262112,765
2199023262123,1452
2199023262137,228
2199023262165,1204
2199023262172,682
2199023262183,619
2199023262209,284
2199023262374,1378
2199023262377,1129
2199023262426,412
2199023262438,1252
2199023262460,1269
2199023262461,312
2199023262470,428
2199023262487,1353
2199023262510,191
2199023262525,658
2199023262528,365
2199023262579,705
2199023262580,1069
2199023262590,1256
2199023262615,1394
2199023262617,1247
2199023262639,594
2199023262644,746
2199023262647,787
2199023262673,178
2199023262699,873
2199023262708,186
2199023262718,533
2199023262722,450
2199023262746,754
2199023262750,727
2199023262798,745
2199023262836,378
2199023262854,1356
2199023262874,1139
2199023262891,834
2199023262916,1138
2199023262937,474
2199023263014,949
2199023263027,828
2199023263029,753
2199023263046,177
2199023263058,992
2199023263072,665
2199023263092,771
2199023263094,1155
2199023263101,875
2199023263150,606
2199023263162,752
2199023263186,212
2199023263200,201
2199023263220,1386
2199023263285,692
2199023263286,831
2199023263300,799
2199023263342,257
2199023263360,1077
2199023263364,197
2199023263383,1068
2199023263405,821
2199023263408,1279
2199023263440,1372
2199023263487,742
2199023263494,874
2199023263533,1420
2199023263558,467
2199023263560,1387
2199023263582,621
2199023263600,1065
2199023263634,1300
2199023263676,460
2199023263698,297
2199023263719,252
2199023263724,543
2199023263726,1165
2199023263756,425
2199023263762,1168
2199023263783,817
2199023263793,265
2199023263805,929
2199023263810,1375
2199023263816,831
2199023263840,822
2199023263846,1412
2199023263847,799
2199023263884,1023
2199023263894,785
2199023263911,712
2199023263915,366
2199023263918,762
2199023263921,598
2199023263932,361
2199023263961,1085
2199023263973,873
2199023263990,329
2199023263996,778
2199023264003,1139
2199023264013,1192
2199023264095,1027
2199023264104,1165
2199023264126,1085
2199023264171,882
2199023264173,198
2199023264195,117
2199023264226,1229
2199023264242,1222
2199023264243,1289
2199023264259,1238
2199023264276,241
2199023264336,392
2199023264340,1419
2199023264344,219
2199023264350,181
2199023264362,1415
2199023264379,758
2199023264382,1321
2199023264386,1109
2199023264435,1312
2199023264445,281
2199023264449,569
2199023264462,1398
2199023264490,1276
2199023264523,1287
2199023264526,449
2199023264541,1055
2199023264546,228
2199023264575,980
2199023264591,963
2199023264600,1368
2199023264658,1381
2199023264681,794
2199023264696,699
2199023264699,1417
2199023264710,283
2199023264744,488
2199023264745,465
2199023264751,1249
2199023264763,857
2199023264767,480
2199023264782,1121
2199023264790,1185
2199023264791,571
2199023264794,116
2199023264805,870
2199023264826,619
2199023264829,599
2199023264845,889
2199023264850,1308
2199023264855,1139
2199023264857,329
2199023264859,768
2199023264875,1125
2199023264887,1083
2199023264940,1020
2199023264975,1449
2199023264980,963
2199023264989,591
2199023265041,254
2199023265046,521
2199023265050,1124
2199023265054,1282
2199023265057,1424
2199023265060,1314
2199023265070,1010
2199023265089,1251
2199023265112,1151
2199023265146,1303
2199023265159,213
2199023265196,900
2199023265197,468
2199023265212,1239
2199023265218,1434
2199023265221,524
2199023265231,404
2199023265236,208
2199023265271,955
2199023265325,266
2199023265344,772
2199023265372,951
2199023265393,1107
2199023265397,171
2199023265402,429
2199023265431,765
2199023265453,748
2199023265455,144
2199023265458,1113
2199023265472,1347
2199023265475,153
2199023265485,698
2199023265489,750
2199023265513,581
2199023265526,488
2199023265539,214
2199023265564,322
2199023265585,1427
2199023265629,1392
2199023265630,469
2199023265672,200
2199023265692,1395
2199023265723,809
2199023265733,228
2199023265765,1409
2199023265774,1342
2199023265789,864
2199023265812,1072
2199023265851,295
2199023265868,1109
2199023265878,420
2199023265887,1100
2199023265898,287
2199023265902,585
2199023265938,847
2199023265941,738
2199023265942,843
2199023265951,380
2199023265966,294
2199023265970,402
2199023266020,743
2199023266066,438
2199023266089,542
2199023266116,507
2199023266146,785
2199023266159,1395
2199023266161,822
2199023266169,690
2199023266171,1000
2199023266175,842
2199023266207,1259
2199023266209,1202
2199023266225,1266
2199023266253,1339
2199023266265,965
2199023266269,1088
2199023266304,436
2199023266340,1098
2199023266376,964
2199023266386,570
2199023266405,709
2199023266414,276
2199023266423,1445
2199023266444,604
2199023266478,339
2199023266479,1254
2199023266485,342
2199023266489,1086
2199023266493,306
4398046511148,841
4398046511161,698
4398046511202,137
4398046511213,190
4398046511238,1259
4398046511252,436
4398046511273,190
4398046511282,1215
4398046511291,656
4398046511304,300
4398046511316,1414
4398046511335,764
4398046511338,535
4398046511349,1300
4398046511378,746
4398046511381,1105
4398046511386,1197
4398046511391,1110
4398046511401,1010
4398046511410,426
4398046511460,626
4398046511463,567
4398046511473,415
4398046511479,912
4398046511484,1413
4398046511490,522
4398046511511,798
4398046511513,167
4398046511545,403
4398046511579,857
4398046511606,1055
4398046511622,1084
4398046511664,1394
4398046511680,992
4398046511700,1105
4398046511722,295
4398046511732,669
4398046511737,487
4398046511744,972
4398046511775,1003
4398046511868,564
4398046511886,884
4398046511934,267
4398046511962,1156
4398046511987,451
4398046512000,913
4398046512039,1377
4398046512041,911
4398046512072,321
4398046512095,330
4398046512134,511
4398046512149,588
4398046512190,570
4398046512195,1015
4398046512214,391
4398046512215,765
4398046512216,711
4398046512258,206
4398046512280,1176
4398046512343,955
4398046512352,662
4398046512357,599
4398046512362,414
4398046512363,525
4398046512365,571
4398046512370,126
4398046512379,1423
4398046512385,367
4398046512397,124
4398046512415,1273
4398046512428,296
4398046512439,604
4398046512444,588
4398046512453,801
4398046512455,1425
4398046512485,528
4398046512500,269
4398046512501,422
4398046512511,1452
4398046512527,612
4398046512536,254
4398046512547,1175
4398046512562,348
4398046512569,493
4398046512578,1288
4398046512579,1385
4398046512589,1302
4398046512623,266
4398046512632,219
4398046512650,573
4398046512662,1004
4398046512668,567
4398046512674,1380
4398046512680,393
4398046512698,1014
4398046512729,968
4398046512731,1055
4398046512735,819
4398046512747,1141
4398046512784,947
4398046512786,532
4398046512797,1150
4398046512801,128
4398046512806,930
4398046512819,938
4398046512836,942
4398046512838,802
4398046512845,485
4398046512873,1121
4398046512897,1349
4398046512927,894
4398046512930,1195
4398046512960,353
4398046512971,676
4398046513016,236
4398046513020,639
4398046513033,608
4398046513036,342
4398046513040,208
4398046513047,654
4398046513051,1222
4398046513067,643
4398046513077,784
4398046513116,1170
4398046513126,725
4398046513128,1428
4398046513157,544
4398046513168,946
4398046513178,393
4398046513289,1016
4398046513296,620
4398046513315,389
4398046513317,1223
4398046513349,1189
4398046513367,1243
4398046513385,720
4398046513395,286
4398046513430,1168
4398046513432,441
4398046513439,1362
4398046513442,1393
4398046513445,925
4398046513446,940
4398046513473,934
4398046513480,1208
4398046513483,541
4398046513491,328
4398046513502,1345
4398046513538,1143
4398046513544,1017
4398046513564,559
4398046513568,428
4398046513640,1018
4398046513655,473
4398046513670,251
4398046513683,1261
4398046513698,983
4398046513747,1297
4398046513755,802
4398046513767,1061
4398046513802,864
4398046513829,979
4398046513838,908
4398046513909,309
4398046513934,1333
4398046513937,422
4398046513986,909
4398046513988,1284
4398046513994,959
4398046514021,678
4398046514036,478
4398046514037,373
4398046514100,604
4398046514104,180
4398046514110,487
4398046514114,1356
4398046514135,718
4398046514165,819
4398046514176,453
4398046514194,617
4398046514203,1064
4398046514231,1216
4398046514254,1421
4398046514281,990
4398046514298,1246
4398046514321,1127
4398046514349,1302
4398046514356,937
4398046514382,810
4398046514388,1277
4398046514413,723
4398046514415,1351
4398046514429,759
4398046514433,1210
4398046514439,292
4398046514464,1325
4398046514467,217
4398046514495,853
4398046514569,536
4398046514572,954
4398046514662,1008
4398046514714,841
4398046514739,717
4398046514751,1192
4398046514782,818
4398046514784,718
4398046514787,381
4398046514797,777
4398046514800,996
4398046514822,140
4398046514840,1338
4398046514859,1296
4398046514865,789
4398046514874,819
4398046514898,1367
4398046514937,644
4398046514958,890
4398046514965,1378
4398046514971,525
4398046514980,292
4398046515006,1278
4398046515025,256
4398046515040,743
4398046515058,624
4398046515078,521
4398046515113,1453
4398046515191,428
4398046515192,558
4398046515220,998
4398046515272,835
4398046515283,794
4398046515338,493
4398046515356,822
4398046515365,1393
4398046515369,148
4398046515374,854
4398046515379,1052
4398046515384,1108
4398046515398,364
4398046515400,364
4398046515411,638
4398046515425,1412
4398046515495,503
4398046515526,1141
4398046515538,1035
4398046515547,1139
4398046515583,149
4398046515597,938
4398046515598,522
4398046515610,583
4398046515613,1319
4398046515627,1391
4398046515630,657
4398046515644,929
4398046515653,1105
4398046515696,1241
4398046515719,933
4398046515723,997
4398046515733,894
4398046515743,846
4398046515753,1187
4398046515762,368
4398046515777,666
4398046515788,374
4398046515804,837
4398046515809,951
4398046515843,696
4398046515849,928
4398046515898,518
4398046515908,1203
4398046515912,1191
4398046515917,1187
4398046515920,1375
4398046515928,1423
4398046515935,379
4398046515941,531
4398046515963,777
4398046515986,423
4398046515987,586
4398046516025,1354
4398046516032,1244
4398046516046,550
4398046516058,213
4398046516063,1029
4398046516093,121
4398046516137,307
4398046516139,1395
4398046516158,462
4398046516200,696
4398046516202,1260
4398046516215,799
4398046516216,1245
4398046516225,1146
4398046516362,361
4398046516386,1125
4398046516392,972
4398046516402,151
4398046516411,327
4398046516413,1258
4398046516419,1253
4398046516430,151
4398046516432,892
4398046516434,806
4398046516444,141
4398046516485,750
4398046516490,516
4398046516492,1055
4398046516545,724
4398046516554,1237
4398046516590,486
4398046516596,1219
4398046516629,426
4398046516633,1253
4398046516648,583
4398046516661,408
4398046516668,918
4398046516674,741
4398046516685,877
4398046516688,137
4398046516697,1220
4398046516763,1027
4398046516767,578
4398046516769,748
4398046516776,824
4398046516785,625
4398046516808,1000
4398046516814,1287
4398046516877,422
4398046516880,613
4398046516901,877
4398046516914,309
4398046516964,244
4398046516981,1360
4398046517010,152
4398046517016,132
4398046517024,1144
4398046517029,841
4398046517043,863
4398046517061,400
4398046517067,1316
4398046517101,384
4398046517111,785
4398046517129,617
4398046517166,177
4398046517171,877
4398046517189,449
4398046517200,214
4398046517216,1193
4398046517220,509
4398046517253,1217
4398046517258,1289
4398046517288,1172
4398046517293,848
4398046517297,1286
4398046517334,913
4398046517335,302
4398046517371,820
4398046517383,996
4398046517418,889
4398046517420,846
4398046517425,775
4398046517444,688
4398046517449,408
4398046517450,187
4398046517466,1164
4398046517503,225
4398046517533,920
4398046517540,278
4398046517544,715
4398046517554,501
4398046517568,641
4398046517570,1057
4398046517605,1324
4398046517617,1193
4398046517628,949
4398046517652,1141
4398046517666,796
4398046517676,916
4398046517707,1116
4398046517753,598
4398046517760,420
4398046517769,798
4398046517781,663
4398046517801,339
4398046517816,786
4398046517832,242
4398046517846,1439
4398046517875,570
4398046517881,1143
4398046517886,1428
4398046517894,504
4398046517905,1399
4398046517909,229
4398046517968,432
4398046517981,412
4398046518002,411
4398046518009,1164
4398046518015,848
4398046518021,994
4398046518031,1370
4398046518038,836
4398046518040,382
4398046518058,1034
4398046518079,1275
4398046518085,546
4398046518099,1021
4398046518100,1146
4398046518103,286
4398046518107,564
4398046518206,1342
4398046518207,743
4398046518217,1102
4398046518277,609
4398046518280,1188
4398046518297,1069
4398046518312,1076
4398046518342,223
4398046518362,1159
4398046518364,1438
4398046518383,702
4398046518392,1218
4398046518396,333
4398046518403,159
4398046518418,464
4398046518419,923
4398046518427,1062
4398046518431,595
4398046518477,395
4398046518478,876
4398046518484,695
4398046518492,608
4398046518518,1166
4398046518534,209
4398046518543,1327
4398046518544,1397
4398046518561,409
4398046518589,928
4398046518625,339
4398046518680,907
4398046518712,1379
4398046518732,283
4398046518745,1261
4398046518762,241
4398046518779,1177
4398046518801,462
4398046518830,1255
4398046518897,990
4398046518909,494
4398046518921,601
4398046518967,1281
4398046518977,828
4398046518997,118
4398046518999,708
4398046519025,1106
4398046519052,770
4398046519129,198
4398046519143,708
4398046519190,1342
4398046519211,1029
4398046519213,1082
4398046519222,215
4398046519225,1091
4398046519227,1040
4398046519243,1280
4398046519264,1326
4398046519281,773
4398046519310,850
4398046519313,1366
4398046519328,422
4398046519329,385
4398046519404,189
4398046519429,1117
4398046519431,605
4398046519441,1154
4398046519464,1220
4398046519469,816
4398046519471,1064
4398046519492,241
4398046519516,637
4398046519545,942
4398046519550,1147
4398046519574,1380
4398046519604,765
4398046519624,703
4398046519625,1246
4398046519642,1006
4398046519664,696
4398046519684,489
4398046519708,308
4398046519731,580
4398046519737,359
4398046519739,506
4398046519779,1021
4398046519782,1067
4398046519791,254
4398046519825,672
4398046519866,491
4398046519871,153
4398046519890,1377
4398046519912,195
4398046519918,285
4398046519945,446
4398046519949,156
4398046519950,214
4398046519964,227
4398046519970,1254
4398046519972,1187
4398046519985,171
4398046519995,890
4398046520026,199
4398046520059,993
4398046520094,606
4398046520108,1214
4398046520134,471
4398046520135,900
4398046520252,994
4398046520256,154
4398046520273,313
4398046520278,805
4398046520309,923
4398046520310,1036
4398046520312,419
4398046520322,710
4398046520360,436
4398046520361,214
4398046520363,319
4398046520371,282
4398046520382,707
4398046520395,605
4398046520406,901
4398046520414,386
4398046520433,955
4398046520437,623
4398046520441,1104
4398046520446,1323
4398046520484,385
4398046520497,309
4398046520505,117
4398046520552,393
4398046520553,696
4398046520615,1314
4398046520636,853
4398046520658,1289
4398046520667,1044
4398046520672,731
4398046520685,881
4398046520686,743
4398046520701,1054
4398046520713,355
4398046520714,904
4398046520779,474
4398046520786,168
4398046520836,976
4398046520852,348
4398046520855,207
4398046520857,117
4398046520858,464
4398046520876,1111
4398046520890,425
4398046520947,670
4398046520953,1315
4398046520995,644
4398046521002,833
4398046521004,981
4398046521011,1453
4398046521031,1437
4398046521049,838
4398046521053,967
4398046521066,543
4398046521068,341
4398046521089,742
4398046521109,1271
4398046521114,684
4398046521115,320
4398046521136,1187
4398046521141,296
4398046521153,409
4398046521177,183
4398046521185,1374
4398046521197,438
4398046521216,461
4398046521222,816
4398046521265,540
4398046521327,170
4398046521350,698
4398046521378,1086
4398046521380,722
4398046521386,240
4398046521401,1017
4398046521408,967
4398046521429,764
4398046521437,1055
4398046521444,333
4398046521464,1354
4398046521478,1146
4398046521500,796
4398046521501,148
4398046521505,1094
4398046521507,831
4398046521516,1385
4398046521529,399
4398046521552,883
4398046521583,1222
4398046521593,549
4398046521630,1404
4398046521633,1268
4398046521653,916
4398046521682,458
4398046521693,1202
4398046521694,813
4398046521703,304
4398046521748,667
4398046521780,1261
4398046521781,956
4398046521801,987
4398046521853,522
4398046521914,879
4398046521917,166
4398046521925,1194
4398046521933,1201
4398046521940,1026
4398046521941,334
4398046521945,406
4398046521973,1355
4398046521984,835
4398046521986,1273
4398046521993,777
4398046522008,1342
4398046522012,1354
4398046522020,624
4398046522027,1151
4398046522033,195
4398046522059,257
6597069766699,148
6597069766701,1264
6597069766725,695
6597069766750,135
6597069766768,139
6597069766771,445
6597069766821,126
6597069766824,1162
6597069766831,425
6597069766845,484
6597069766846,958
6597069766853,1401
6597069766879,163
6597069766921,1385
6597069766941,980
6597069766956,241
6597069766973,1262
6597069766989,1145
6597069766996,307
6597069767000,867
6597069767023,180
6597069767024,1304
6597069767028,1222
6597069767030,570
6597069767045,745
6597069767047,621
